"","level","Overall","0","1","2","p","test","Missing"
"echo_ef_abnormal (%)","0","85 (90.4)","31 (91.2)","15 (75.0)","39 (97.5)","0.020","","0.0"
"","1","9 (9.6)","3 (8.8)","5 (25.0)","1 (2.5)","","",""
"echo_eeratio_abnormal (%)","0","55 (94.8)","19 (95.0)","9 (100.0)","27 (93.1)","0.716","","38.3"
"","1","3 (5.2)","1 (5.0)","0 (0.0)","2 (6.9)","","",""
"echo_gls_abnormal (%)","0","16 (100.0)","7 (100.0)","2 (100.0)","7 (100.0)","NA","","83.0"
"echo_lateral_e_abnormal (%)","0","34 (73.9)","12 (75.0)","6 (75.0)","16 (72.7)","0.985","","51.1"
"","1","12 (26.1)","4 (25.0)","2 (25.0)","6 (27.3)","","",""
"echo_tr_abnormal (%)","0","10 (76.9)","4 (100.0)","1 (50.0)","5 (71.4)","0.344","","86.2"
"","1","3 (23.1)","0 (0.0)","1 (50.0)","2 (28.6)","","",""
"echo_lavi_abnormal (%)","0","39 (55.7)","16 (61.5)","9 (69.2)","14 (45.2)","0.257","","25.5"
"","1","31 (44.3)","10 (38.5)","4 (30.8)","17 (54.8)","","",""
